Title,Genre,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Osmosis Jones,Adventure,0,0,0,0,0,0,-61403089,-61403089,-61403089,-61403089,-61403089
Bandits,Action,0,0,0,0,0,0,-7368097,-7368097,-7368097,-7368097,-7368097
Domestic Disturbance,Mystery,0,0,0,0,0,0,-20750706,-20750706,-20750706,-20750706,-20750706
We Were Soldiers,Action,0,0,0,0,0,0,0,39660784,39660784,39660784,39660784
Anger Management,Comedy,0,0,0,0,0,0,0,0,120745823,120745823,120745823
Hollywood Homicide,Action,0,0,0,0,0,0,0,0,-23857341,-23857341,-23857341
50 First Dates,Comedy,0,0,0,0,0,0,0,0,0,121482882,121482882
The Bourne Supremacy,Action,0,0,0,0,0,0,0,0,0,213500217,213500217
Shark Tale,Animation,0,0,0,0,0,0,0,0,0,292275019,292275019
Robots,Animation,0,0,0,0,0,0,0,0,0,0,185696994
Madagascar,Family,0,0,0,0,0,0,0,0,0,0,457680671
The Legend of Zorro,Action,0,0,0,0,0,0,0,0,0,0,67400065
Two Brothers,Adventure,0,0,0,0,0,0,0,0,0,-12327950,-12327950
The Lost World: Jurassic Park,Adventure,0,0,156074524,156074524,156074524,156074524,156074524,156074524,156074524,156074524,156074524
Snake Eyes,Crime,0,0,0,30891409,30891409,30891409,30891409,30891409,30891409,30891409,30891409
The Bone Collector,Drama,0,0,0,0,78493655,78493655,78493655,78493655,78493655,78493655,78493655
Braveheart,Action,138000000,138000000,138000000,138000000,138000000,138000000,138000000,138000000,138000000,138000000,138000000
The Last Castle,Action,0,0,0,0,0,0,-44357293,-44357293,-44357293,-44357293,-44357293
The Majestic,Drama,0,0,0,0,0,0,-34682442,-34682442,-34682442,-34682442,-34682442
Signs,Drama,0,0,0,0,0,0,0,336247917,336247917,336247917,336247917
Jarhead,Drama,0,0,0,0,0,0,0,0,0,0,24889998
Doctor Dolittle,Comedy,0,0,0,223456605,223456605,223456605,223456605,223456605,223456605,223456605,223456605
Mars Attacks!,Comedy,0,31371017,31371017,31371017,31371017,31371017,31371017,31371017,31371017,31371017,31371017
Seven Years in Tibet,Adventure,0,0,61457682,61457682,61457682,61457682,61457682,61457682,61457682,61457682,61457682
Alien: Resurrection,Science Fiction,0,0,92000000,92000000,92000000,92000000,92000000,92000000,92000000,92000000,92000000
Hard Rain,Thriller,0,0,0,-50129433,-50129433,-50129433,-50129433,-50129433,-50129433,-50129433,-50129433
Six Days Seven Nights,Action,0,0,0,94000000,94000000,94000000,94000000,94000000,94000000,94000000,94000000
Saving Private Ryan,Drama,0,0,0,411840909,411840909,411840909,411840909,411840909,411840909,411840909,411840909
The Siege,Drama,0,0,0,46672912,46672912,46672912,46672912,46672912,46672912,46672912,46672912
Star Trek: Insurrection,Science Fiction,0,0,0,48000000,48000000,48000000,48000000,48000000,48000000,48000000,48000000
The Prince of Egypt,Adventure,0,0,0,148613188,148613188,148613188,148613188,148613188,148613188,148613188,148613188
A Civil Action,Drama,0,0,0,-13297099,-13297099,-13297099,-13297099,-13297099,-13297099,-13297099,-13297099
Runaway Bride,Comedy,0,0,0,0,239457509,239457509,239457509,239457509,239457509,239457509,239457509
The Iron Giant,Adventure,0,0,0,0,-46840695,-46840695,-46840695,-46840695,-46840695,-46840695,-46840695
Chill Factor,Action,0,0,0,0,-58736034,-58736034,-58736034,-58736034,-58736034,-58736034,-58736034
Double Jeopardy,Crime,0,0,0,0,107841558,107841558,107841558,107841558,107841558,107841558,107841558
What Women Want,Comedy,0,0,0,0,0,304111707,304111707,304111707,304111707,304111707,304111707
Dr. Dolittle 2,Comedy,0,0,0,0,0,0,106104344,106104344,106104344,106104344,106104344
Hart's War,Drama,0,0,0,0,0,0,0,-37712956,-37712956,-37712956,-37712956
Bad Company,Action,0,0,0,0,0,0,0,-4022705,-4022705,-4022705,-4022705
xXx,Action,0,0,0,0,0,0,0,207448382,207448382,207448382,207448382
Ballistic: Ecks vs. Sever,Action,0,0,0,0,0,0,0,-50075967,-50075967,-50075967,-50075967
I Spy,Action,0,0,0,0,0,0,0,-36438863,-36438863,-36438863,-36438863
Tears of the Sun,Action,0,0,0,0,0,0,0,0,15632458,15632458,15632458
Big Fish,Adventure,0,0,0,0,0,0,0,0,52919055,52919055,52919055
