Country,Longitude,Latitude,World Bank region,Population (2019),Unnamed: 5,Unnamed: 6,Unnamed: 7,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Djibouti,43.1425,11.5806,Middle East and North Africa,973560.0,,,,SUB-SAHARAN AFRICA        ,486530.0,23000.0,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,1.0,39.53,19.31,179.0,225.0,596.0
Guinea-Bissau,-15.1804,11.8037,Sub-Saharan Africa,1920922.0,,,,SUB-SAHARAN AFRICA        ,1442029.0,36120.0,39.9,0.97,-1.57,107.17,800.0,42.4,7.4,10.67,8.82,80.51,2.0,37.22,16.53,0.62,0.12,0.26
Grenada,-61.7449,12.0653,Latin America & the Caribbean,112003.0,,,,LATIN AMER. & CARIB   ,89703.0,344.0,260.8,35.17,-13.92,14.62,5000.0,98.0,364.5,5.88,29.41,64.71,2.0,22.08,6.88,54.0,0.18,766.0
Chad,15.0445,12.1048,Sub-Saharan Africa,15946876.0,,,,SUB-SAHARAN AFRICA        ,9944201.0,1284000.0,7.7,0.0,-0.11,93.82,1200.0,47.5,1.3,2.86,0.02,97.12,2.0,45.73,16.38,335.0,259.0,406.0
Nicaragua,-86.2734,12.1475,Latin America & the Caribbean,6545502.0,,,,LATIN AMER. & CARIB   ,5570129.0,129494.0,43.0,0.7,-1.22,29.11,2300.0,67.5,39.7,15.94,1.94,82.12,2.0,24.51,4.45,165.0,275.0,0.56
Burkina Faso,-1.53395,12.3605,Sub-Saharan Africa,20321378.0,,,,SUB-SAHARAN AFRICA        ,13902972.0,274200.0,50.7,0.0,0.0,97.57,1100.0,26.6,7.0,14.43,0.19,85.38,2.0,45.62,15.6,322.0,196.0,482.0
Aruba,-70.0167,12.5167,Other,106314.0,,,,LATIN AMER. & CARIB   ,71891.0,193.0,372.5,35.49,0.0,5.89,28000.0,97.0,516.1,10.53,0.0,89.47,2.0,11.03,6.68,4.0,333.0,663.0
Barbados,-59.6105,13.0935,Latin America & the Caribbean,287025.0,,,,LATIN AMER. & CARIB   ,279912.0,431.0,649.5,22.51,-0.31,12.5,15700.0,97.4,481.9,37.21,2.33,60.46,2.0,12.71,8.67,0.06,0.16,0.78
St. Vincent and the Grenadines,-61.2653,13.2035,Latin America & the Caribbean,110589.0,,,,,,,,,,,,,,,,,,,,,,
Guam,144.794,13.4443,Other,167294.0,,,,OCEANIA       ,171019.0,541.0,316.1,23.2,0.0,6.94,21000.0,99.0,492.0,9.09,16.36,74.55,2.0,18.79,4.48,,,
"Gambia, The",-16.5885,13.4495,Sub-Saharan Africa,2347706.0,,,,SUB-SAHARAN AFRICA        ,1641564.0,11300.0,145.3,0.71,1.57,72.02,1700.0,40.1,26.8,25.0,0.5,74.5,2.0,39.37,12.25,308.0,142.0,549.0
Niger,2.1073,13.514,Sub-Saharan Africa,23310715.0,,,,SUB-SAHARAN AFRICA        ,12525094.0,1267000.0,9.9,0.0,-0.67,121.69,800.0,17.6,1.9,3.54,0.01,96.45,1.0,50.73,20.91,0.39,0.17,0.44
Mali,-7.50034,13.5667,Sub-Saharan Africa,19658031.0,,,,SUB-SAHARAN AFRICA        ,11716829.0,1240000.0,9.5,0.0,-0.33,116.79,900.0,46.4,6.4,3.82,0.03,96.15,2.0,49.82,16.89,0.45,0.17,0.38
